Data Point Number, Analog Reading 1, Analog Reading 2, Analog Reading 3, Current Milliseconds, Microseconds Write Time
683,479,469,456,1324,1288
684,479,477,473,1325,1304
685,478,485,491,1327,1288
686,478,489,500,1328,1304
687,479,485,495,1330,1292
688,479,479,482,1331,1304
689,478,472,470,1333,1292
690,479,465,451,1334,1304
691,479,456,433,1336,1292
692,479,458,436,1337,1304
693,478,465,448,1339,1288
694,479,474,464,1340,1304
695,479,479,478,1342,1292
696,478,486,494,1343,1300
697,478,490,502,1345,1292
698,479,486,496,1346,1300
699,479,479,482,1348,1288
700,479,472,469,1349,1300
701,478,446,427,1353,1304
702,478,455,434,1354,1292
703,479,465,449,1355,1304
704,478,475,466,1357,1292
705,478,481,481,1358,1304
706,478,488,498,1360,1288
707,478,489,502,1361,1304
708,478,484,493,1363,1288
709,478,476,478,1364,1304
710,478,470,465,1367,1292
711,478,461,443,1368,1304
712,478,454,430,1370,1292
713,478,459,438,1371,1304
714,478,467,451,1373,1292
715,478,475,468,1374,1304
716,478,481,483,1376,1288
717,478,488,499,1377,1300
718,478,489,503,1379,1292
719,478,484,493,1380,1300
720,478,469,466,1384,1296
721,478,458,440,1385,1292
722,478,454,430,1387,1296
723,478,460,441,1388,1288
724,478,468,457,1390,1304
725,478,476,471,1391,1292
726,478,484,488,1392,1304
727,478,491,504,1394,1292
728,478,489,504,1395,1304
729,478,482,491,1397,1292
730,478,473,474,1398,1304
731,478,466,456,1400,1292
732,478,455,432,1401,1304
733,478,451,424,1403,1288
734,478,458,437,1404,1304
735,478,464,453,1406,1292
736,478,473,468,1408,1304
737,478,483,488,1410,1292
738,478,496,507,1411,1304
739,478,512,514,1415,1296
740,478,489,492,1416,1292
741,478,468,460,1418,1296
742,477,439,421,1419,1292
743,477,421,403,1421,1296
744,478,426,409,1422,1292
745,478,436,426,1424,1296
746,478,451,446,1425,1292
747,478,478,481,1427,1304
748,477,500,508,1428,1292
749,477,505,515,1430,1304
750,478,498,505,1431,1292
751,477,485,486,1432,1304
752,477,465,451,1434,1292
753,477,434,407,1435,1304
754,477,418,389,1437,1292
755,477,416,391,1438,1304
756,477,421,406,1440,1288
757,477,439,431,1441,3216
758,477,524,522,1445,1296
759,477,537,540,1446,1300
760,478,518,523,1448,1288
761,477,495,497,1449,1296
762,477,459,443,1452,1292
763,477,407,381,1453,1300
764,477,374,349,1455,1296
765,477,373,345,1456,1288
766,477,397,372,1458,1296
767,477,432,416,1459,1288
768,477,483,483,1461,1296
769,477,522,527,1462,1292
770,477,528,538,1464,1296
771,477,520,522,1465,1292
772,477,495,491,1467,1304
773,477,444,424,1468,1292
774,477,384,356,1469,1304
775,477,353,323,1471,1288
776,477,354,320,1472,20424
777,477,283,336,1494,1300
778,477,464,462,1495,1300
779,477,556,548,1497,1304
780,477,585,576,1498,1300
781,478,556,553,1500,1304
