today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:08:47 2018,4985866,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,14,1210,0,16,58,0.023942,0.162806,-10.2568,0.00106422,-0.0170276,0.00744957,-34.0518,44.2266,44.0977,-0.133727,-0.653658,
Mon Feb  5 12:08:47 2018,4995867,759.083,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1208,0,60,24,0.0574608,0.220267,-10.3334,0.00212845,-0.0159634,0.0117065,-34.0518,44.2266,44.0977,-0.318529,-0.663109,
Mon Feb  5 12:08:47 2018,5005868,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1208,0,60,24,-0.0143652,0.215478,-10.319,0.00744957,-0.0159634,0.00957802,-35.0889,44.2266,42.7664,0.0797447,-0.672256,
Mon Feb  5 12:08:47 2018,5015869,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4836,16,1202,0,58,24,0.0047884,0.177171,-10.2951,0,-0.0127707,0.00532112,-35.0889,44.2266,42.7664,-0.0266453,-0.680487,
Mon Feb  5 12:08:47 2018,5025870,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4836,16,1202,0,58,24,0.100556,0.148441,-10.3525,0.00212845,-0.0127707,0.00744957,-35.0889,44.2266,42.7664,-0.556452,-0.687804,
Mon Feb  5 12:08:47 2018,5035871,759.648,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,16,1208,0,58,60,-0.0622492,0.229843,-10.3142,0.00532112,-0.019156,0.0106422,-35.0889,44.2266,42.7664,0.345706,-0.696951,
Mon Feb  5 12:08:47 2018,5045872,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,16,1208,0,58,60,0.0383072,0.181959,-10.2711,0.00106422,-0.0223487,0.0138349,-35.0889,44.2266,42.7664,-0.213656,-0.708841,
Mon Feb  5 12:08:47 2018,5055878,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,12,1202,0,18,24,0.105345,0.205901,-10.0844,0.00532112,-0.0212845,0.00744957,-35.0889,44.2266,42.7664,-0.598385,-0.721341,
Mon Feb  5 12:08:47 2018,5065879,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4916,12,1202,0,18,24,0.124498,0.201113,-10.3382,0.0042569,-0.0170276,0.00957802,-35.0889,44.2266,42.7664,-0.689827,-0.732316,
Mon Feb  5 12:08:47 2018,5075880,759.561,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,12,1202,0,60,24,0.124498,0.23942,-10.3382,0,-0.0159634,0.00851379,-35.0889,44.2266,42.7664,-0.689773,-0.741768,
