today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt
Thu Sep 19 07:02:46 2019,4879257,949.486,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,2,22,8,62,26,0.110133,0.153229,-9.69173,0.00744957,-0.00106422,-0.0106422,-23.6414,40.0131,18.2725,0.651061,19.1944,0.753681,0.0532146,0.806896,
Thu Sep 19 07:02:46 2019,4889258,949.486,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,22,20,20,62,0.191536,-0.00957681,-9.63427,0.0042569,-0.00638535,0.00532112,-23.6414,40.0131,18.2725,1.13893,19.4824,0.753189,0.0385467,0.791736,
Thu Sep 19 07:02:46 2019,4899259,949.486,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,22,20,20,62,0.0574608,0.11971,-9.56244,0.00638535,-0.00638535,-0.0042569,-23.6414,40.0131,18.2725,0.344287,19.7689,0.752984,0.0235207,0.776505,
Thu Sep 19 07:02:46 2019,4909260,949.486,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5012,0,22,8,62,24,0.0861913,0.0814029,-9.67257,0.0042569,-0.00106422,-0.0276698,-23.6414,40.0131,18.2725,0.510543,20.0538,0.752161,0.00822376,0.760385,
Thu Sep 19 07:02:46 2019,4919261,950.745,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5012,0,22,8,62,24,0.124498,0.0861913,-9.71088,0.00212845,-0.00212845,-0.00638535,-23.6414,40.0131,18.2725,0.734522,20.3406,0.75055,-0.00405522,0.746495,
Thu Sep 19 07:02:46 2019,4929262,950.745,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5006,0,20,20,22,62,0.158017,-0.023942,-9.6199,0.00532112,-0.00532112,0.0042569,-23.6414,40.0131,18.2725,0.941061,20.628,0.748999,-0.0146917,0.734307,
Thu Sep 19 07:02:46 2019,4939263,950.745,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5006,0,20,20,22,62,0.0383072,0.110133,-9.67257,0.00532112,-0.00532112,-0.0117065,-23.6414,40.0131,18.2725,0.226913,20.9145,0.747436,-0.0252424,0.722193,
Thu Sep 19 07:02:46 2019,4949264,950.745,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,2,20,8,62,24,0.205901,0.153229,-9.60075,0.00638535,0,-0.00638535,-23.6414,40.0131,18.2725,1.2286,21.1995,0.74566,-0.0362604,0.7094,
Thu Sep 19 07:02:46 2019,4959265,950.745,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,2,20,8,62,24,0.148441,0.0383072,-9.5385,0.0127707,-0.00319267,-0.0042569,-23.6414,40.0131,18.2725,0.89158,21.4869,0.744595,-0.0438704,0.700724,
Thu Sep 19 07:02:46 2019,4969266,950.745,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5012,0,22,10,62,26,0.11971,0.0287304,-9.73004,0,-0.00532112,-0.00744957,-22.0172,41.2805,18.0984,0.704884,21.7739,0.744317,-0.0509619,0.693355,
Thu Sep 19 07:02:46 2019,4979267,949.781,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5012,0,22,10,62,26,0.143652,0.138864,-9.69173,0.00851379,-0.0042569,-0.00744957,-22.0172,41.2805,18.0984,0.849184,22.0601,0.744226,-0.0581319,0.686094,
