today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:31:22 2019,4945137,947.2,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,66,24,0.105345,0.071826,-9.66779,0.00212845,0,-0.00638535,-20.9344,33.3141,17.4023,0.624298,21.1995,
Thu Sep 19 06:31:22 2019,4955138,947.2,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,22,8,66,24,0.0622492,0.0622492,-9.64863,0.0106422,-0.00212845,-0.00532112,-20.9344,33.3141,17.4023,0.369645,21.4865,
Thu Sep 19 06:31:22 2019,4965139,947.2,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,20,8,62,26,0.162806,0.0909797,-9.6199,0.00319267,-0.00638535,-0.00212845,-22.7391,32.2277,18.0984,0.969573,21.7742,
Thu Sep 19 06:31:22 2019,4975140,946.644,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,20,8,62,26,0.114922,0.153229,-9.72525,0.00744957,-0.0042569,-0.00532112,-22.7391,32.2277,18.0984,0.677024,22.0601,
Thu Sep 19 06:31:22 2019,4985141,946.644,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,24,8,60,26,0.114922,0.0574608,-9.60075,0.0042569,0,-0.0106422,-22.7391,32.2277,18.0984,0.685803,22.3454,
Thu Sep 19 06:31:22 2019,4995142,946.644,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,24,8,60,26,0.0622492,0.0861913,-9.72046,0.00638535,0,-0.00638535,-22.7391,32.2277,18.0984,0.366914,22.6319,
Thu Sep 19 06:31:22 2019,5005143,946.644,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,16,66,0.229843,-0.0287304,-9.71567,0.00638535,-0.00106422,-0.00851379,-22.7391,32.2277,18.0984,1.35519,22.9186,
Thu Sep 19 06:31:22 2019,5015144,945.732,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,10,20,16,66,0.201113,0.0383072,-9.54329,0.00638535,-0.00319267,-0.00957802,-22.7391,32.2277,18.0984,1.20726,23.2057,
Thu Sep 19 06:31:22 2019,5025145,945.732,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,8,62,66,0.0957681,0.124498,-9.7444,0.00212845,-0.0042569,-0.00744957,-22.7391,32.2277,18.0984,0.563086,23.4925,
Thu Sep 19 06:31:22 2019,5035146,945.732,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,0,24,8,62,66,0.129287,0.0909797,-9.58638,0.00744957,-0.00212845,-0.00957802,-22.7391,32.2277,18.0984,0.772674,23.7784,
Thu Sep 19 06:31:22 2019,5045147,945.732,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,14,20,18,64,0.172383,0.0335188,-9.69173,0.0042569,-0.00212845,-0.00744957,-22.7391,32.2277,18.0984,1.01899,24.0649,
Thu Sep 19 06:31:22 2019,5055148,945.732,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,14,20,18,64,0.0814029,0.047884,-9.62948,0.0042569,-0.00319267,-0.0042569,-22.7391,32.2277,18.0984,0.484339,24.3516,
