"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PSUN","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-25",,,"86","67","69",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-26",,,"86","69","70",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-27",,,"90","70","76",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-28",,,"94","74","75",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-29",,,"88","73","74",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-30",,,"83","72","74",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-07-31",,,"80","70","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-01",,,"84","70","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-02",,,"90","71","74",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-03",,,"88","72","73",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-04",,,"92","73","75",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-05",,,"94","75","76",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-06",,,"94","76","78",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-07",,,"96","77","78",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-08",,,"96","76","76",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-09",,,"98","68","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-10",,,"94","72","77",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-11",,,"95","75","77",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-12",,,"95","72","78",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-13",,,"99","73","75",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-14",,,"94","75","78",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-15",,,"100","78","81",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-16",,,"101","80","82",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-17",,,"97","75","75",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-18",,,"92","72","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-19",,,"90","72","76",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-20",,,"87","71","73",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-21",,,"91","73","78",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-22",,,"95","74","75",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-23",,,"93","71","76",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-24",,,"93","71","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-25",,,"86","68","69",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-26",,,"85","67","67",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-27",,,"88","67","73",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-28",,,"97","73","73",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-29",,,"97","72","72",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-30",,,"84","70","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-08-31",,,"82","62","63",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-01",,,"87","59","63",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-02",,,"87","59","61",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-03",,,"90","59","76",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-04",,,"93","71","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-05",,,"93","69","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-06",,,"81","71","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-07",,,"87","69","71",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-08",,,"85","64","64",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-09",,,"84","64","64",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-10",,,"77","63","63",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-11",,,"74","51","51",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-12",,,"82","51","53",
"USC00145972","OLATHE 3 E, KS US","38.8875","-94.7602","321.6","2007-09-13",,,"78","53","61",
