Time (sec),AccY (m/s^2),AccZ (m/s^2),Gyro (deg/s)
11.4,-9.139395,-0.03832031,-49.47365
11.411,-9.062755,-0.3257227,-49.4702
11.42,-9.254355,-0.5173243,-49.51769
11.431,-9.388477,-0.7089258,-49.56068
11.44,-9.484278,-0.977168,-49.7911
11.452,-9.81,-1.302891,-50.74423
11.47,-10.02076,-1.590293,-51.41025
11.481,-9.79084,-1.417852,-52.56824
11.491,-9.503438,-1.20709,-53.05561
11.501,-9.177715,-1.111289,-54.39665
11.511,-8.947793,-1.283731,-56.0424
11.52,-8.871153,-1.398691,-58.1754
11.531,-9.062755,-1.532813,-61.10072
11.542,-9.177715,-1.379531,-65.00165
11.55,-9.330997,-1.302891,-67.07368
11.562,-9.618399,-1.379531,-70.52328
11.58,-9.982442,-1.513652,-75.04595
11.592,-9.675879,-1.820215,-78.59299
11.6,-9.580078,-2.126777,-80.56731
11.61,-9.407638,-2.375859,-83.63807
11.621,-9.139395,-2.720742,-86.02209
11.63,-8.813672,-3.046465,-88.72474
11.641,-8.56459,-3.410508,-90.92583
11.65,-8.52627,-3.67875,-93.20166
11.661,-8.737032,-3.946992,-94.75852
11.672,-9.330997,-4.291875,-96.28091
11.69,-9.388477,-3.908672,-97.19354
11.702,-9.311836,-3.793711,-97.19153
11.712,-9.024434,-3.467988,-96.72813
11.72,-8.698711,-3.046465,-96.4301
11.731,-8.449629,-3.046465,-95.44331
11.74,-8.066426,-2.931504,-95.45016
11.751,-7.702383,-3.199746,-95.13411
11.762,-7.702383,-3.812871,-94.68107
11.77,-7.664063,-4.004473,-94.42149
11.78,-7.798184,-4.655918,-93.89246
11.792,-8.162227,-5.556446,-93.56203
11.8,-8.411309,-5.977969,-92.99757
11.812,-8.583751,-6.207891,-91.89253
11.82,-8.679551,-6.456973,-91.35265
11.831,-8.200547,-6.342012,-90.44693
11.84,-7.683223,-5.939649,-89.40189
11.85,-7.185059,-5.786367,-88.17393
11.86,-6.706055,-5.728887,-87.30795
11.871,-6.227051,-5.479805,-86.62102
11.881,-6.207891,-5.498965,-85.3853
11.891,-6.342012,-5.479805,-84.81723
